m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2007,2.63,2.63%,803,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2007,1.84,1.84%,2079,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2006,5,5%,1283,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2006,2.6,2.60%,1744,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2006,2.95,2.95%,738,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2006,2.13,2.13%,2039,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2005,5,5%,1407,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2005,2.6,2.60%,1705,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2005,2.95,2.95%,629,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2005,3.79,3.79%,3581,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2004,5,5%,1267,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2004,2.6,2.60%,1653,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2004,2.95,2.95%,618,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2004,3.89,3.89%,3401,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2003,5,5%,1254,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2003,2.6,2.60%,1574,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2003,2.95,2.95%,600,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2003,3.84,3.84%,3335,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2002,5,5%,1315,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2002,2.6,2.60%,1692,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2002,2.95,2.95%,537,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2002,2.75,2.75%,2441,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2001,5,5%,1250,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
